Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
To All the Boys: P.S. I Still Love You,G17,102,6,English,12-02-2020
War Machine,G6,122,6,English,26-05-2017
6 Underground,G5,128,6.1,English,13-12-2019
Between Two Ferns: The Movie,G6,82,6.1,English,20-09-2019
Burning Sands,G7,102,6.1,English,10-03-2017
Casting JonBenet,G1,80,6.1,English,28-04-2017
Deidra & Laney Rob a Train,G7,94,6.1,English,17-03-2017
Finding 'Ohana,G7,123,6.1,English,29-01-2021
Holidate,G17,104,6.1,English,28-10-2020
Holiday in the Wild,G10,85,6.1,English,01-11-2019
Hot Girls Wanted,G1,84,6.1,English,29-05-2015
Like Father,G6,103,6.1,English,03-08-2018
Lost Girls,G4,95,6.1,English,13-03-2020
Otherhood,G6,100,6.1,English,02-08-2019
Pee-wee's Big Holiday,G7,89,6.1,English,18-03-2016
Rogue City,G7,116,6.1,French,30-10-2020
Sergio,G15,118,6.1,English,17-04-2020
Stuck Apart,G7,96,6.1,Turkish,08-01-2021
Tersanjung the Movie,G7,114,6.1,Indonesian,01-04-2021
The Killer,G7,99,6.1,Portuguese,10-11-2017
The Lovebirds,G17,87,6.1,English,22-05-2020
The Most Hated Woman in America,G15,92,6.1,English,24-03-2017
The Perfection,G9,90,6.1,English,24-05-2019
Tribhanga – Tedhi Medhi Crazy,G7,95,6.1,Hindi,15-01-2021
Unknown Origins,G2,96,6.1,Spanish,28-08-2020
Work It,G6,93,6.1,English,07-08-2020
Alien Xmas,G7,42,6.2,English,20-11-2020
Baggio: The Divine Ponytail,G15,92,6.2,Italian,26-05-2021
Below Zero,G7,106,6.2,Spanish,29-01-2021
Citation,G7,151,6.2,English,06-11-2020
Crazy Awesome Teachers,G6,101,6.2,Indonesian,17-08-2020
Have You Ever Seen Fireflies?,G6,114,6.2,Turkish,09-04-2021
High Flying Bird,G7,90,6.2,English,08-02-2019
In the Shadow of the Moon,G2,115,6.2,English,27-09-2019
Lost Bullet,G2,92,6.2,French,19-06-2020
Octonauts & the Caves of Sac Actun,G11,72,6.2,English,14-08-2020
Offering to the Storm,G2,139,6.2,Spanish,24-07-2020
